user_id_id	last_sub	total_points	rank	tries
google-oauth2|101254411904826274874	2017-09-26 14:24:31.173232	0	226	510510
google-oauth2|101278796230868060457	2017-09-28 01:40:15.231921	0	320	510510
google-oauth2|101330973950756165131	2017-10-04 09:32:06.143884	0	541	510510
google-oauth2|101552171827996516352	2017-09-25 13:54:23.085310	0	66	510510
google-oauth2|101580540506446833771	2017-09-27 17:15:07.081900	0	309	510510
google-oauth2|101590492636416357105	2017-10-05 04:13:46.735686	0	570	510510
google-oauth2|101630270168331086400	2017-09-27 13:35:52.850657	0	283	510510
google-oauth2|101701129531586255623	2017-09-25 15:05:41.059038	0	111	510510
google-oauth2|101708543269077356683	2017-09-25 18:26:50.826498	0	164	510510
google-oauth2|101760790682756422587	2017-09-25 14:55:33.716356	0	104	510510
google-oauth2|101790562838033843280	2017-09-25 17:20:52.179286	0	156	510510
google-oauth2|101793399697134602859	2017-09-29 15:06:35.523880	0	404	510510
google-oauth2|101826439026089983122	2017-09-25 16:45:06.503753	0	146	510510
google-oauth2|101895023920079638001	2017-09-25 13:37:02.261114	0	58	510510
google-oauth2|101916989419592579152	2017-09-26 11:35:46.157844	0	208	510510
google-oauth2|102019766775390085933	2017-09-27 16:02:55.631768	0	301	510510
google-oauth2|102030851361726897029	2017-09-25 17:59:29.140114	250	4	34034
google-oauth2|102092772843693491576	2017-09-26 17:40:49.318712	0	249	510510
google-oauth2|102158299495628499923	2017-09-26 03:16:37.534705	0	182	510510
google-oauth2|102185326330089177566	2017-09-27 13:26:11.993708	0	280	510510
google-oauth2|102208030148097607406	2017-10-02 01:28:53.311925	0	471	510510
google-oauth2|102227355571837022182	2017-09-25 16:55:03.674234	0	149	510510
google-oauth2|102229974957964949459	2017-09-26 10:57:20.207639	0	204	510510
google-oauth2|102273645989042053114	2017-09-25 17:02:56.101277	100	23	170170
google-oauth2|102306436070152859515	2017-09-30 10:58:44.108332	0	428	510510
google-oauth2|102325413438541930084	2017-09-25 13:27:13.731928	0	50	510510
google-oauth2|102331426082604001060	2017-10-03 13:30:32.371569	0	517	510510
google-oauth2|102349120364960295739	2017-09-29 16:08:45.059668	0	410	510510
google-oauth2|102354547621606826468	2017-09-28 05:27:38.754952	0	327	510510
google-oauth2|102371205313105560002	2017-09-28 07:38:29.170260	0	330	510510
google-oauth2|102426273204977197696	2017-09-26 17:27:32.123302	0	248	510510
google-oauth2|102445564302165094983	2017-10-09 10:05:51.007102	0	601	510510
google-oauth2|102451005738106885740	2017-09-25 14:21:19.892816	0	85	510510
google-oauth2|102477600138042609745	2017-10-01 06:20:12.076948	0	450	510510
google-oauth2|102717319377335401946	2017-09-25 13:32:29.271619	0	56	510510
